Config,Gain,Vcc,Vout,RC,RE,RG
CC,31.92228661,16.84221995,16.69015594,177.7315894,141.3297624,2234.086881
CG,76.39220919,18.75135393,6.654688635,863.863343,628.1727853,12624.43182
CG,90.50013568,13.26446876,3.929030358,525.1619618,793.8968518,7957.612441
CG,49.72028115,18.86001393,12.36109295,548.6369669,30.40850808,8468.601393
CC,96.69160107,19.80460652,1.56143004,722.133861,603.013807,19760.81455
CE,55.53347377,5.590341217,6.106453614,-516.1123974,-9.318717147,8764.509614
CG,41.17860251,11.31310592,12.83269811,849.3250948,899.5782927,10923.15988
CG,75.04455997,8.380012668,3.903794609,867.4840605,292.7857787,17301.13304
CG,80.79926168,15.39889423,4.437547957,460.1070076,250.820886,10586.03578
CC,63.1220448,10.81346458,16.71460987,425.3741918,390.4625893,7022.598386
CG,54.95740073,14.18523817,2.728177168,603.1805426,352.7340587,91.68998687
CE,55.45067824,18.02707597,15.77683211,2250.24386,40.55599794,9589.197938
CE,39.31782828,11.85594515,18.18994565,-6334.000504,-161.1224151,9545.479017
CE,38.35655069,14.83504478,3.908521467,10926.52331,284.8422029,9336.138031
CC,36.60000008,10.87644954,15.95263268,765.8400537,629.6317966,5546.927661
CC,46.68509565,13.7475654,6.1735042,147.2312402,480.476802,7195.574623
CC,32.73345442,15.53738658,11.5314728,188.5652856,224.4355466,8805.486368
CC,62.04593315,12.86319335,1.723887665,523.3361023,356.0384471,2624.607508
CC,15.9225248,6.402056429,8.446646078,315.1245517,559.2512227,19747.49076
CE,84.4727238,17.49734976,5.342884231,12154.46553,143.8612746,9517.72052
CG,94.94283423,15.38312212,2.157893093,919.5598547,786.5250596,4404.039746
CE,18.27749512,6.953964967,13.61103115,-6657.066185,-364.2470196,9517.177636
CC,35.85192374,11.59980775,6.112984549,774.918325,807.7287497,7525.245542
CG,49.81208452,10.92501603,5.135122931,753.3454545,418.4405995,91.87373147
CG,10.50856257,18.76001287,11.18511364,111.6672028,152.7993122,6948.853418
CE,59.20246283,10.67627937,11.79723646,-1120.957093,-18.95929833,9362.099212
CC,29.52891261,17.19736471,8.583655152,493.529,666.0392489,17202.38067
CE,116.7327223,15.02833514,6.970848455,8057.486685,69.0000902,9488.29988
CG,28.90746716,17.21495766,13.9849646,251.3440658,127.0968949,10778.83244
CG,34.95299724,10.92079905,1.689116515,596.516222,727.1498268,12025.09299
CG,51.15071206,17.57432103,8.981675174,440.7762059,758.8388798,5312.470679
CG,66.0199612,7.445195508,17.83801076,777.0880811,335.3052847,21114.99865
CE,10.55209023,6.737948197,11.74890551,-5010.957309,-474.9031709,9665.926744
CG,8.377421002,13.22608289,12.30451258,644.2159245,767.1324273,16885.17532
CE,51.2344604,12.91806168,15.28761815,-2369.556476,-46.27427165,9493.944413
CC,59.7298985,15.99374961,3.255121542,489.6623042,558.7874588,13587.87607
CE,40.82943263,9.944171638,12.34528054,-2401.108903,-58.83328481,9355.23366
CG,62.05034837,5.721621296,15.67139649,986.7443439,771.5126327,15293.87976
CG,96.43877698,10.40873086,6.622686671,567.1839981,777.8654396,15392.28604
CG,53.62584021,18.84158965,13.17817695,653.9123606,833.1340823,7095.727645
CE,67.23577334,16.9106739,14.38705712,2523.616776,37.50884026,9563.879686
CE,42.31630406,18.54985224,14.74871686,3801.13538,89.80173378,9574.22748
CG,64.31160026,13.46545787,1.213790943,919.5149345,921.3162606,15314.02128
CE,84.33736087,14.18071834,1.047455249,13133.26309,155.6979554,9396.576439
CC,67.89719806,8.037058144,17.08819394,762.0515918,883.9470078,3954.005509
CC,87.30636659,14.64867882,3.562739244,968.5414063,576.791272,6856.842901
CC,58.5001765,18.55648287,11.56611447,295.1692574,484.9851127,276.4696647
CE,78.53776022,8.049420628,15.04013087,-6990.710237,-89.03581744,9240.983655
CC,70.76240294,15.52277395,13.37718853,633.8133549,228.6305888,14390.55362
CG,87.50246744,6.97491462,7.8872913,499.8533784,122.0321828,6523.83427
CE,42.39406229,8.577956537,10.9389593,-2361.002766,-55.71682661,9248.908326
CG,77.73743158,14.9959999,7.493833054,281.6137379,360.7672283,21157.55456
CE,52.91826159,13.06152018,12.28731676,774.2034245,14.60517494,9452.892799
CE,63.42810192,18.41914814,5.058338384,13360.80976,210.6199563,9505.612339
CE,14.59291537,13.98436205,16.86170254,-2877.340495,-197.1987943,9640.454671
CG,82.9154988,19.54774687,13.01388673,838.5373479,289.9398905,17376.90038
CG,11.39886393,16.04521858,6.800978943,167.1573795,543.6712101,19385.4557
CG,95.05631489,18.42203275,17.5360091,190.3512167,368.6759316,20327.94423
CE,68.71173643,9.013185169,3.76902835,5244.156819,76.296122,9138.710559
CE,66.68830105,16.50777997,13.21612302,3291.656947,49.33383649,9546.072314
CG,-7.196910816,8.004130858,9.398146198,145.8897944,38.28795449,10855.28966
CG,69.82290822,14.30494824,17.69168204,997.7722613,763.4780462,3215.668292
CC,59.06958036,6.458419124,11.67068727,678.3900347,216.8246634,10712.46004
CC,43.53333991,15.27753634,15.60025568,913.1430005,591.3256919,18362.81878
CG,73.73656614,11.17076101,3.447916348,574.5930476,762.2024151,14180.98913
CE,79.81725808,9.212905823,15.22991935,-6017.013526,-75.40986877,9322.048718
CC,2.459457026,15.38522292,12.53116316,792.6233006,988.3093774,20076.35238
CE,63.72703195,19.85775287,9.800235659,10057.51721,157.7968364,9568.029252
CC,85.57132183,9.605707398,16.32580935,296.5693894,965.7521294,5250.330531
CC,88.82575934,5.335615792,2.210513065,117.6122862,190.5521292,16107.48192
CG,47.00031522,10.07354323,11.87361714,788.4961109,731.6614486,8849.451728
CC,112.5586749,17.74249193,6.099631992,963.2940034,202.6552778,20832.1923
CG,93.84907636,11.61888782,17.25809948,723.854978,461.5741638,3513.776244
CE,49.30323003,19.78630802,17.97052231,1815.785717,36.80394033,9627.619291
CE,61.83963486,5.269631427,13.00028311,-7730.651682,-125.0362763,8908.910933
CC,77.21135422,18.10321296,7.1060965,460.5624861,637.8641802,466.7554336
CE,85.0893773,12.0167963,8.359760248,3657.036047,42.95376143,9381.737242
CC,11.93456142,17.74993757,8.952330305,324.4448017,264.6839609,7443.350866
CC,41.98131656,7.513008946,15.39766371,825.9383332,820.6122657,3093.660471
CE,40.91929447,10.17312705,6.556152239,3616.974809,88.36789278,9225.048612
CG,38.33036316,7.849616472,17.13613638,126.0406134,697.7094914,9101.205102
CG,56.90911771,9.38128421,9.982205268,295.6143067,523.7817071,13335.258
CE,48.31799735,6.150809112,1.312643488,4838.165624,100.1067499,8699.184554
CG,93.15226383,15.43889057,17.21961882,152.9615364,510.2442579,5660.242389
CG,89.00304431,10.84912206,10.37054369,178.037235,96.83340283,5162.237937
CG,21.96642872,12.31911052,10.24644714,708.4199741,182.2655334,17826.62958
CE,63.85498064,5.186901119,7.201793294,-2014.892175,-31.57918974,8711.329183
CG,36.07302106,15.28884493,14.61372095,652.7058638,442.7910278,1774.601788
CG,7.758143617,14.15843151,6.437200951,974.6719723,553.2491364,5124.292326
CE,70.56209538,13.86728917,1.682469275,12184.81989,172.6572287,9370.708133
CE,110.3223046,7.936126738,2.650452827,5285.673911,47.88619921,9057.618125
CE,19.82186404,9.158827414,16.94680808,-7787.980667,-392.923501,9664.720728
CC,42.70706847,9.927904802,13.58013375,204.7424167,171.9302292,20552.42541
CC,49.68153541,10.36912801,13.07404003,598.274277,266.5094262,2303.945493
CG,32.23000521,17.95105293,12.18612433,863.9475007,985.3968432,12579.92085
CE,46.04830724,16.14831847,2.251502195,13896.81627,301.7627769,9379.64886
CG,8.428008282,16.32048102,16.88648588,803.9703417,331.5799926,13814.5084
CC,8.662565971,10.64628863,1.941475933,601.7766236,510.7333477,9495.250193
CC,67.20831391,5.579972388,15.27374152,102.9681105,98.79643433,20742.35834
CE,45.60768114,19.82908268,12.98155082,6847.531858,150.1148818,9571.278765
CC,28.63268962,7.340313177,1.717798717,787.9274965,411.2724378,18510.57198
CC,86.13019651,9.542313402,1.117796513,998.0021763,528.0709214,8034.24108
CG,105.379619,10.22374381,8.146674938,456.2215121,475.4365473,16369.04122
CG,67.3248314,13.91041443,11.15376867,359.9999468,94.18165655,10539.52184
CE,58.53302791,7.71536426,14.78234767,-7066.983409,-120.7599707,9249.23826
CG,51.50066961,12.47790175,16.64721842,303.2394189,585.429942,17819.05585
CG,17.19966163,10.07647091,4.539794388,788.7977245,202.354656,3816.04816
CE,44.96164507,18.51235513,16.52857838,1983.776746,44.09653387,9598.054095
CE,80.8923561,16.18207484,11.99087555,4191.199292,51.7870561,9535.419862
CE,34.51166495,6.24148454,2.995026764,3246.457776,94.0434195,8727.797186
CC,42.20461779,19.1262152,12.48700579,980.0967936,139.555059,10866.87294
CC,79.47416707,5.539882534,4.41288072,177.5385804,669.4479297,2422.598687
CG,67.99410235,13.92960414,16.1563062,878.8316973,766.624324,3821.469531
CG,22.29561549,8.66564377,17.9032059,580.5414885,827.9619977,8036.235372
CG,114.8469883,19.97610001,6.891980935,186.7123272,315.1442784,17385.48325
CG,47.99366081,18.53053634,10.68452816,842.2348965,50.39735868,14597.69149
CC,86.04547924,10.51237484,17.72645281,238.2192542,331.2822177,4214.152604
CC,49.97956157,18.80671941,3.50846399,185.5978469,214.2548303,14297.71168
CC,-13.72402072,6.520234689,8.162377424,415.5128471,326.484307,2310.394519
CC,47.77803106,13.74544755,4.843728957,436.4248393,259.6263068,5186.590654
CE,30.27632273,6.015761452,13.43236689,-7416.60544,-244.9888784,9243.635032
CE,78.79368752,5.691914121,6.58399742,-892.0832996,-11.34676102,8790.120117
CC,55.2637856,19.59352065,6.366188886,721.9162479,902.9048013,18662.70472
CE,77.6110133,9.086264227,6.012975571,3073.288656,39.57361526,9186.053149
CC,55.34884961,5.220520177,5.679165744,644.5477394,37.11714853,4641.842945
CG,38.29349921,13.98044187,8.98682475,187.3909769,633.8570214,19288.00374
CE,62.58806503,14.23240123,12.10882849,2123.572742,33.90435603,9484.342562
CE,42.74215906,5.394905128,12.27475097,-6879.845839,-160.986589,9000.884356
CC,42.11577888,16.34963531,2.259437855,482.2231824,812.5059761,18134.90472
CG,40.08320606,11.17293814,17.12331575,894.9988322,514.7799237,19944.63348
CG,24.37397774,10.5074218,13.49722952,798.6530967,681.352855,7136.96974
CG,63.4731757,19.44870452,9.865615467,588.4493409,737.3798594,18532.56135
CE,33.15661312,10.0221621,7.993016437,2029.14566,61.17382187,9240.509369
CE,66.60674122,15.66410517,9.205032803,6459.072365,96.94825295,9491.226441
CC,63.71367153,7.305587355,6.982055348,755.1042249,768.3877666,1606.285444
CG,60.37509779,8.100681571,10.23836081,946.4445244,223.6737167,14935.84812
CC,69.00246299,16.96752405,15.49162928,348.681061,606.8218378,5672.361981
CC,91.80390004,5.18103441,10.24842404,768.2429061,590.2791624,6859.62906
CG,66.96489686,11.51737573,15.22134162,227.1887306,97.7947707,18476.15401
CE,38.01363561,14.07136238,3.463512849,10607.84953,279.0288016,9304.240218
CG,37.98017333,8.908024265,18.24810103,389.8578584,963.7921821,8909.162776
CE,87.03125375,14.21235514,9.206900446,5005.454696,57.48830103,9467.021269
CC,40.53844575,7.66839389,18.16285882,713.1141317,507.9785163,4472.434172
CG,91.33936103,9.630143512,14.3108191,913.1983995,599.8965643,15931.73417
CE,39.39270685,18.86879639,5.836040172,13032.75622,330.8168554,9453.692311
CG,116.7610776,15.47551349,3.241500512,592.1495057,444.5556689,16501.66542
CG,70.91265592,19.16215869,8.821674991,820.9315483,122.7229612,18864.12299
CC,19.08479138,19.51528709,17.45448234,153.9215388,803.757834,7213.142377
CE,65.99970128,9.830402374,17.1254702,-7295.067821,-110.5568309,9400.387546
CG,82.20451266,11.22359697,4.496657529,258.861378,636.7447799,6669.9797
CG,-10.30564164,8.582164481,14.73075882,332.4810554,768.3765443,739.7782388
CE,60.54284267,7.485180231,5.734078098,1751.102133,28.89835504,9026.21135
CG,41.58276348,12.31730587,13.78982171,637.3184085,653.9613151,6772.672326
CG,30.23381863,10.56123919,16.5378987,388.2183503,227.0851202,729.2799762
CG,82.46225932,9.645328391,3.056918439,282.8279827,798.7498681,14282.04841
CE,91.63728716,6.773687973,1.254566408,5519.121565,60.20290216,8877.711957
CC,76.59695224,10.04441926,6.72528444,812.1089874,964.4518572,12314.03649
CC,50.0509503,18.00996341,5.324487407,822.0210654,323.6299773,15691.21858
CC,27.18679037,8.632779269,6.171501674,609.1097561,177.9921671,11024.39518
CE,58.41909394,8.730410879,10.27383213,-1543.421247,-26.44480803,9228.495427
CE,48.58641356,17.17667303,5.939178835,11237.4942,231.2638187,9457.832249
CG,108.1904543,9.299008192,4.053965639,913.199954,399.4230974,7872.873727
CE,31.49962961,16.00544112,14.79993503,1205.506084,38.24548443,9538.753428
CC,8.800298504,14.52153534,4.372156768,167.4494051,267.6036767,12405.42328
CC,76.17683329,12.88307966,3.47913235,124.7807945,413.9938291,17044.99467
CG,78.74006148,15.45763652,13.17600187,441.9447836,497.6879174,21446.72952
CC,2.300567937,12.33147645,12.78546882,282.8520862,53.86491664,4281.269014
CG,34.958271,13.43908724,6.258186959,855.7121328,178.5666379,15335.45125
CG,106.7444503,19.43854071,2.26253943,238.7758551,743.3670891,15278.13987
CE,68.31912949,11.9852487,18.20022071,-6214.972012,-90.994719,9491.870969
CG,14.93572614,12.33991103,2.910048107,741.9089243,28.50396918,1223.180924
CC,46.55986049,15.51278997,5.354409631,681.9639397,114.4608076,5466.690718
CE,72.07088367,16.35180144,14.6655877,1686.213743,23.37160147,9557.619627
CG,-11.12349062,5.453529855,15.75070518,245.4737587,144.240312,17875.41059
CC,21.91159064,17.47539898,13.98972363,892.5659152,306.3543851,6377.234937
CG,20.56436478,8.850319747,1.957698158,201.5594738,330.869823,6883.991825
CG,68.96371107,13.96218138,4.964730886,328.0367997,930.1220431,1698.20735
CE,75.18902354,5.847979166,15.17098817,-9323.009007,-124.0192822,9015.077343
CE,35.87640112,18.3650987,10.75863092,7606.467778,211.9936959,9503.409314
CG,33.13563121,5.707205339,13.73730967,587.3418851,629.0528056,1123.245088
CE,43.61636421,17.43084496,2.818065757,14612.77921,335.0047411,9406.222278
CC,39.05675632,8.37023171,15.32595681,765.6317556,411.8774252,21226.17222
CG,87.76443729,16.00277316,16.04564338,828.0990119,165.1899901,3305.40391
CE,3.79878362,13.96858824,18.23067344,-4262.085206,-1121.985509,10302.09603
CE,80.2981718,7.022591137,11.12132809,-4098.736949,-51.06896348,9075.937893
CE,38.92835103,17.57622493,10.35233344,7223.891493,185.5439055,9496.169451
CG,11.70980426,13.57569533,5.155075508,644.4407015,572.9258882,21659.65238
CE,91.05913983,12.05686941,6.946127607,5110.741802,56.1005225,9372.888188
CC,13.90171179,16.19873877,5.310199262,610.5105307,955.3623335,19210.34212
CG,20.33945051,5.174313748,15.83312346,906.5413604,388.1914186,8338.699505
CG,50.39608439,18.78682922,3.886074988,440.2857033,117.2271394,4522.60685
CG,107.3609986,11.54150594,17.83419399,671.347257,666.1964744,6816.985133
CE,96.36202435,8.751925986,17.90259846,-9150.672472,-94.98639722,9308.708045
CG,65.30443173,10.19199741,6.51364695,684.8570506,343.146232,3872.941617
CC,22.45450214,15.58230272,14.67509037,811.359874,671.4732768,5049.462915
CG,15.11195948,6.232381651,14.13241563,698.1595815,53.12961691,9053.255414
CC,55.20185317,12.37993502,6.844608419,457.9584244,882.525147,16724.16535
CC,75.02171569,9.947555925,1.262937589,561.8831096,103.1320128,17560.45394
CG,59.57868368,8.807954549,16.52480176,365.9270737,813.5127738,8084.99102
CC,87.99105654,17.57545285,17.69210494,675.6698679,149.4136672,3076.371343
CC,73.8544302,12.38140134,10.53584774,460.4367527,184.8218942,4413.974463
CE,36.25883079,15.14026423,18.24678738,-3106.523149,-85.70131887,9594.261585
CC,118.1045403,18.79024172,9.692628903,817.8127486,10.14813207,869.6118738
CE,45.06965098,15.66356297,14.26952598,1394.036991,30.90572524,9533.371988
CE,101.230776,9.540278799,13.87909197,-4338.813174,-42.88561357,9311.220982
CE,55.37190449,16.35901897,10.45051938,5908.499594,106.6807319,9506.889299
CC,22.11727561,5.849839099,7.63986672,273.0863822,205.6116187,6041.336587
CE,56.5720857,7.446745201,4.796614011,2650.13119,46.82020922,8997.118622
CG,56.73581161,13.66455222,16.23296651,605.5386113,395.4609874,13805.11158
CC,91.16899666,12.20248336,3.321416049,811.8992114,871.1745152,8822.575888
CC,91.68407467,6.596379171,18.19901473,192.1861462,817.9576276,20087.15813
CC,54.96754699,15.19405075,15.26240103,169.5426031,228.8871891,4340.492163
CC,-2.044130191,14.56395121,2.545994371,457.5720057,519.0482789,9612.950142
CG,81.25739884,6.783297838,1.506758157,637.8880396,258.1308916,5830.58783
CE,61.00251231,10.20522223,1.1680972,9037.125032,148.1184893,9168.936776
CE,49.8326931,14.13038367,2.636309291,11494.07437,230.6282852,9341.399139
CC,72.50136482,9.866106396,16.22416987,264.6125702,937.5884484,21136.57772
CG,49.29307283,11.32394092,2.994153584,731.9108893,534.6299571,12300.92879
CE,32.62402981,11.0263761,14.27042647,-3244.050366,-99.46245102,9455.36272
CC,60.75136125,16.48134097,13.65173684,621.0268265,490.6042128,7365.138227
CC,64.8618968,14.11147638,14.91194306,551.1777872,445.1675351,2689.327188
CG,33.62289513,9.595466342,5.474445104,958.8870982,452.0401678,11284.53547
CE,91.74739068,18.26834671,2.751986248,15516.36046,169.0954551,9524.261572
CC,84.88357931,10.5237951,11.11914691,582.3349406,884.7280807,21122.79625
CC,56.63923691,16.85008777,17.6135826,598.8264156,437.889979,9917.949001
CE,63.49751915,7.385608083,15.06016776,-7674.559676,-120.8889295,9215.892498
CG,42.89333925,19.86089739,9.785147211,443.1874263,582.5539913,20347.19523
CC,83.58927792,10.31721874,4.656931607,804.1923711,875.651018,7807.28986
CC,35.91358158,10.73303834,7.542525412,697.7164374,961.2913027,6123.371392
CG,111.7253351,10.76050497,14.6754489,189.2921066,756.8877142,8666.482876
CE,97.94339263,12.80918228,1.244461947,11564.72033,118.0505538,9361.356146
CG,77.48032531,8.418153552,2.27736367,634.3659785,16.39774701,16066.07105
CG,53.80765346,6.766889609,2.451709888,230.4304529,475.7391604,11692.36949
CG,18.73378681,8.74192794,10.67980481,365.302435,272.9257288,11482.05657
CG,1.440139555,13.10169328,14.59950367,574.5380196,354.4287491,10281.05911
CG,20.66800913,6.536605222,2.934863114,693.8987127,115.2867385,9023.028714
CE,34.40509841,7.158830574,18.03035992,-10871.52935,-316.0109978,9463.614904
CC,70.16149473,14.87886659,17.63863645,782.2142132,785.5763701,2992.392999
CE,75.54072551,19.84518208,8.289461258,11555.72082,152.9483894,9570.198759
CG,66.4445717,11.88190629,4.765276323,456.4695096,947.3544356,7900.506387
CC,45.03958831,6.030678171,10.0649651,129.4885775,114.0552368,14860.82077
CC,40.22757354,5.798661395,4.884342954,932.3223107,783.2569758,5936.800032
CG,103.5267828,7.210714185,4.929163304,935.6308046,223.4303153,5796.358858
CC,15.18886043,6.442035436,13.41925399,862.9886516,927.6117285,9527.95376
CG,69.56243361,14.27730545,15.45700525,179.0455426,206.8582204,3766.772164
CE,19.65215538,17.878128,13.86285826,4015.269741,204.2920157,9494.190882
CC,18.22256917,6.514238094,4.815846491,954.8503514,545.5753671,17822.24976
CC,72.85504729,6.699535132,8.386521346,883.0639636,918.8361938,4547.31491
CC,71.66582596,12.69861544,2.687243241,708.8053466,998.4422335,1842.103593
CG,96.24956449,16.24011693,12.99811985,692.0769966,65.82835726,8075.112488
CC,27.39334183,14.54128091,10.51316228,660.7051599,787.2589353,3411.79629
CC,36.20233352,11.06343297,4.432317755,386.4651388,327.1689168,19942.82092
CE,21.13649667,11.25710391,8.073218406,3183.885501,150.6094949,9244.379814
CE,65.45737367,15.30368842,3.976538276,11327.15014,173.0212056,9429.535429
CG,59.15699146,9.956958026,17.06740876,675.5475096,615.8554011,3119.010001
CC,44.01635418,19.84826517,10.07842838,636.9364518,726.3398306,14684.87228
CC,50.01875388,14.21514889,11.84319785,921.1128577,493.4872897,5934.423161
CE,41.53504299,10.86435657,12.93086467,-2066.508097,-49.77836363,9401.5093
CG,35.83133176,14.23934662,6.381771275,508.4940626,104.5016848,10410.50582
CE,111.1928991,13.07635466,2.973030581,10103.32408,90.83803318,9395.215216
CE,87.59524098,18.12818424,11.27282012,6855.364126,78.23683305,9570.703374
CC,52.10270829,18.21307948,15.76884613,816.6485651,477.0284691,14812.2878
CC,1.191659626,12.9513052,6.755279267,438.7282377,445.7895994,2471.394742
CC,30.08693376,16.76736275,17.91611993,819.8157398,151.2740304,11214.22758
CG,24.30950376,16.56778812,4.906789124,809.054253,377.5442313,15303.77152
CC,59.67472541,8.781978276,8.793471591,186.9606721,997.8045088,2113.627433
CG,59.82585799,13.81818852,13.42041521,664.7239675,953.7089478,16544.96239
CG,41.53349744,14.76133446,8.106357689,689.0797538,819.5906004,8294.953685
CC,31.99292464,13.15462721,2.123774599,870.1280886,219.8038037,21665.20667
CE,65.03606627,16.07587577,1.712729045,14363.14672,220.8239465,9427.201379
CC,122.8408296,14.68370062,2.209595261,488.3620047,181.6001227,11803.45822
CC,40.39622481,18.19293779,12.74458904,513.080569,499.555084,19447.11449
CC,97.89925333,6.936365671,13.82192257,173.6180961,326.4165276,19793.54436
CC,74.58533869,19.19654208,14.57908865,269.2253298,734.7248993,15825.71849
CC,29.07895765,5.138753162,1.189527839,572.7203781,678.481335,1242.820024
CC,89.64710874,15.36317652,4.821212423,895.6000138,726.82356,20732.16331
CC,12.65577639,6.280053732,13.63578228,533.5874443,113.2865236,466.9237629
CE,16.32886817,9.378311173,9.708082645,-329.771472,-20.22061115,9275.157993
CG,44.09642201,6.309190125,17.30267551,180.5410261,101.5435323,1359.651292
CG,62.71175954,7.809480966,8.668607768,215.3602224,672.02355,4204.428148
CG,58.32164943,10.01509987,9.186244845,399.1107213,718.0447675,8393.232561
CC,71.33107883,14.37181166,15.392184,871.926509,496.5934705,20901.25786
CE,76.77795464,8.748930776,8.243924766,505.0060093,6.55248714,9192.412758
CG,63.17314826,12.45035634,17.78500251,176.73904,312.6841481,11775.38103
CG,48.71211635,11.72474633,16.72792805,311.2750342,856.4584002,10337.91079
CC,97.06325078,12.28316953,5.650652799,411.7486183,276.8313596,16228.64138
CG,95.60493107,15.59440775,1.400747124,417.6504579,737.8106707,16337.11994
CG,53.84536835,6.91529788,1.307820778,602.922292,123.1784839,4166.089655
CG,38.75209885,9.419431022,7.336702213,143.3384922,284.7869817,13600.54039
CC,77.97648825,7.507156274,11.72158415,185.1054972,357.6721653,8372.317481
CC,4.120622521,17.46212456,3.881938638,909.445636,268.0042184,8694.362232
CC,48.7302006,8.830263156,14.69124679,448.1430812,724.8582811,462.0872865
CG,32.30056712,5.410195117,10.38247598,526.3088446,11.73668099,5286.070499
CG,76.53426644,15.11116235,7.145289279,465.0755666,148.8584533,9843.367928
CE,110.5994579,19.03444741,8.177563156,10856.88425,98.13899154,9580.68707
CE,23.0553005,10.80176291,9.849181766,952.5811416,41.29222948,9313.730327
CE,73.3297701,11.08097124,15.50235263,-4421.381386,-60.31949403,9422.721626
CC,28.60239433,9.668124599,2.455363058,748.0097286,293.5398843,11105.85494
CE,77.41061572,10.44275938,7.514496256,2928.263121,37.80266865,9293.479202
CE,72.75475924,9.033395867,11.27684893,-2243.453064,-30.86082556,9259.260654
CG,26.53381406,14.58536438,8.535404801,331.0651827,605.3547459,8078.348163
CE,8.870406287,8.546031406,9.679695375,-1133.663969,-127.8279362,9330.482142
CC,32.56038811,5.963768676,5.796676631,452.482222,968.8606524,12440.24357
CE,58.57802338,5.616104353,7.478651735,-1862.547382,-31.82100939,8810.244702
CC,120.3108851,18.85447969,2.792849375,318.4247407,959.6965154,674.4694137
CG,97.96752324,7.456401066,7.5587767,855.4199802,655.4211517,6695.189893
CG,70.51746043,15.09507434,9.847887047,344.6603992,431.2166419,20831.55725
CE,25.99877315,13.9358595,5.851587256,8084.272249,310.9232206,9274.588539
CC,60.80259688,17.22716061,4.771654763,726.588112,483.1986526,5516.656999
CG,24.6014611,13.69129682,7.74118449,748.7036544,874.0584722,1699.911685
CG,71.99952308,14.61815445,9.598589262,541.8010075,812.5082425,12806.23917
CC,21.67753742,12.5642093,12.4657307,189.623176,879.6536055,19426.17255
CE,85.79950684,13.51386864,13.14158236,372.2862826,4.314025903,9478.821317
CE,40.13132477,8.783241247,10.43043862,-1647.19737,-41.07017804,9249.787404
CE,51.40296456,16.7474546,12.4479588,4299.495797,83.61795394,9532.097281
CC,60.42092639,13.58483221,11.68884074,847.1212921,459.5117387,14392.44687
CG,59.54258301,5.393776734,12.96493598,505.3575728,633.4847805,5007.69334
CE,84.00065793,5.313077419,12.08590743,-6772.830009,-80.65329716,8834.297613
CE,35.93293549,13.78071471,18.00686974,-4226.155033,-117.6372957,9577.407474
CG,84.12545842,16.25968746,15.17711996,163.8721176,849.0028926,15233.57374
CE,42.08184444,11.97922572,5.524295622,6454.930093,153.3649044,9287.62933
CG,96.08277196,8.586817579,14.45516974,836.4580803,85.39663394,15606.98042
CG,25.40953987,12.5643373,1.351060897,256.1431588,56.51518879,4202.597989
CE,18.81417284,10.12040939,12.11878798,-1998.378598,-106.2416599,9413.306006
CC,9.983686508,5.761077143,10.91635653,820.1551801,158.9006846,21302.36279
CC,22.19555131,15.31202589,1.67836595,875.8379082,421.0152353,3459.390398
CC,34.96724288,10.03557755,17.47843082,247.2605585,179.2924311,10608.96037
CC,14.44219274,8.688039609,15.77452836,640.4366177,854.8914951,15004.07527
CC,50.25238185,19.21501849,13.78279819,980.7775934,181.0941379,4076.617465
CG,111.4951671,16.43333342,5.715186406,702.4764884,776.5298511,19619.20137
CC,90.15021063,11.87620225,2.786186117,656.5254553,657.9857813,80.76863749
CG,56.40298636,15.59409779,14.35097636,920.5221318,353.2985815,16247.5432
CC,69.80456668,8.68026854,12.48180776,484.7977651,672.8671599,11476.38102
CG,69.76935835,18.42104088,8.20454543,104.8356496,986.0032472,19970.4267
CC,13.61515187,19.13298726,11.57148835,851.205846,460.1007275,14331.02123
CE,24.77941679,18.45124587,16.3793677,2071.87817,83.58787064,9575.319804
CC,29.51321556,10.02412476,16.389581,514.6561789,375.5783051,15723.5166
CC,11.76822483,11.64325462,14.20592943,539.0500642,308.5913194,7604.161016
CE,37.48326052,7.146756865,16.42780787,-9281.051005,-247.630221,9367.027888
CC,55.52798698,16.36327392,4.636762881,557.5930577,580.2894531,12907.25617
CG,103.8102552,11.65147403,4.732803327,293.7627675,164.8251886,7608.305548
CG,65.09932075,10.16231038,10.34665993,576.258168,399.2784952,12440.39812
CE,112.6846436,14.71555481,15.94945494,-1233.900129,-10.97502912,9531.770987
CE,55.37084386,18.73695938,12.46837946,6268.579911,113.185843,9565.999036
CC,76.41489113,17.05879622,10.601939,126.9506026,173.4696564,20257.89779
CG,72.2282712,11.4959881,16.35301024,344.4913561,41.60676053,14068.7431
CG,47.23211611,5.859954279,6.309543794,706.5018867,852.0555899,4880.895614
CC,64.34498789,6.12620358,12.2371212,756.1353957,56.87840985,13343.72096
CG,31.82535346,12.54984886,9.771403736,765.1034264,931.3987275,5424.010196
CC,58.85404697,14.06535595,2.816201051,383.8645143,112.8296603,14138.29567
CC,88.80764838,10.80057019,15.27008814,769.4720946,24.10699007,18071.83993
CC,57.4313148,18.192467,17.07414271,445.0573692,60.87862546,11298.37002
CC,72.11576275,10.08666142,4.22529576,232.2645415,162.017172,7356.590773
CG,49.70651604,18.96660191,7.010747155,583.4056919,434.6288716,8471.223654
CE,37.72766258,9.780456966,12.93826019,-3157.803224,-83.72494344,9369.891347
CC,74.20430181,7.047039024,7.626438242,958.6954513,137.2144026,19271.76702
CG,55.8437531,18.84793723,1.607834563,156.2066375,288.178409,6285.362863
